"","event_id","year","start_date","end_date","event"
"65","991",2017,2017-07-07,2017-07-08,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017"
"66",NA,2017,2017-07-12,2017-07-13,"IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017"
"67",NA,2017,2017-07-28,2017-07-29,"IFSC Climbing Worldcup (L) - Briançon (FRA) 2017"
"68",NA,2017,2017-08-18,2017-08-19,"IFSC Climbing Worldcup (B) - Munich (GER) 2017"
"69","993",2017,2017-08-25,2017-08-26,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017"
"70","994",2017,2017-09-23,2017-09-24,"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017"
"71","995",2017,2017-10-07,2017-10-08,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017"
"72","996",2017,2017-10-14,2017-10-15,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017"
"73",NA,2017,2017-11-11,2017-11-12,"IFSC Climbing Worldcup (L) - Kranj (SLO) 2017"
"74",NA,2016,2016-04-15,2016-04-16,"IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016"
"75",NA,2016,2016-04-23,2016-04-24,"IFSC Climbing Worldcup (B) - Kazo (JPN) 2016"
"76","939",2016,2016-04-30,2016-05-01,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016"
"77","940",2016,2016-05-07,2016-05-08,"IFSC Climbing Worldcup (S) - Nanjing (CHN) 2016"
"78",NA,2016,2016-05-14,2016-05-15,"IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016"
"79",NA,2016,2016-05-20,2016-05-21,"IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016"
"80",NA,2016,2016-06-10,2016-06-11,"IFSC Climbing Worldcup (B) - Vail (USA) 2016"
"81","944",2016,2016-07-11,2016-07-12,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016"
"82","945",2016,2016-07-15,2016-07-16,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016"
