"","rank","fname","lname","country","best_qual","final","fall_qual","false_start_qual","fall_final","false_start_final","sex","event_id","lane_a","lane_b","fall_lane_a","false_start_lane_a","fall_lane_b","false_start_lane_b","first_round","quarter","semi","small_final","big_final","fall_first_round","fall_quarter","fall_semi","fall_small_final","fall_big_final","false_start_first_round","false_start_quarter","false_start_semi","false_start_small_final","false_start_big_final","tomoa_skip","year","start_date","end_date","event"
"2645",36,"roman","kostyukov","KAZ",7.17,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,7.82,7.179,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2646",37,"chia hsiang","lin","TPE",7.18,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,7.318,7.181,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2647",38,"merritt","ernsberger","USA",7.4,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,7.401,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2648",39,"aaron","peñaranda","ECU",7.68,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,7.685,8.052,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2649",40,"peter","kuric","SVK",7.84,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,NA,7.848,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2650",41,"philipp","martin","GER",8,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,8.008,9.226,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2651",42,"yannick","flohé","GER",8.62,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,NA,8.626,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2652",43,"fedir","samoilov","UKR",9.19,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,9.195,10.703,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2653",44,"ferhat","bekmez","TUR",9.34,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,9.482,9.341,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2654",45,"joshua","bruyns","RSA",9.91,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,10.424,9.912,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2655",46,"gaurav","kumar","IND",9.97,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,12.531,9.979,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2656",47,"ti̇mur","taş","TUR",10.02,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,10.022,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2657",48,"sergii","topishko","UKR",10.11,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,10.111,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2658",49,"lev","rudatskiy","CFR",11.76,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,NA,11.762,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2659",50,"ethan","pitcher","CAN",NA,NA,FALSE,TRUE,FALSE,FALSE,"M",1185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2660",NA,"colin","duffy","USA",NA,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2661",NA,"hritik","marne","IND",NA,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2662",1,"veddriq","leonardo","INA",5.41,6.96,FALSE,FALSE,FALSE,FALSE,"M",1235,NA,NA,NA,NA,NA,NA,5.66,5.47,5.38,NA,6.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2022,2022-05-06,2022-05-08,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022"
"2663",2,"kiromal","katibin","INA",5.17,NA,FALSE,FALSE,FALSE,TRUE,"M",1235,NA,NA,NA,NA,NA,NA,5.51,5.26,5.29,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2022,2022-05-06,2022-05-08,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022"
"2664",3,"rahmad","adi mulyono","INA",5.48,5.58,FALSE,FALSE,FALSE,FALSE,"M",1235,5.711,5.48,FALSE,FALSE,FALSE,FALSE,8.32,5.56,5.54,5.58,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2022,2022-05-06,2022-05-08,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022"
"2665",4,"ludovico","fossali","ITA",5.887,NA,FALSE,FALSE,TRUE,FALSE,"M",1235,NA,NA,NA,NA,NA,NA,5.61,5.64,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2022,2022-05-06,2022-05-08,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022"
